# 공시 서술지표 사전 — 재무제표 계정이 아니라 정기보고서 본문(주로 「II. 사업의 내용」)에
# 값이 서술·표로 실리는 지표. 주최측 테크세션 p9 「섹터별 주요 지표」가 출처다.
#
# 재무 개념 사전(account_map·concept_question_patterns)이 해소하지 못한 metric 표면이
# 여기 alias 와 맞으면 정기공시 narrative 경로(topic)로 보낸다. 값을 계산하지 않고
# 원문 표·문장을 근거로 인용한다.
#
# aliases 는 질문 원문에 **그대로** 등장해야 하는 표기다(grounding). 띄어쓰기 변형은
# 따로 적는다. topic_query 는 검색 확장용 동의어(공백 구분), section_hint 는 우선 검색 경로.
#
# term	aliases	topic_query	section_hint	sector_hint
순이자마진	NIM|순이자마진(NIM)|순이자마진율|순이자 마진	순이자마진 NIM	II. 사업의 내용	금융
고정이하여신비율	고정이하여신|NPL비율|NPL 비율|부실여신비율|고정이하 여신비율	고정이하여신비율 고정이하여신 NPL	II. 사업의 내용	금융
자본적정성	BIS비율|BIS 비율|BIS 자기자본비율|BIS자기자본비율|BIS기준 자기자본비율|BIS 기준 자기자본비율|BIS기준자기자본비율|자기자본비율|총자본비율|기본자본비율|보통주자본비율|자본적정성 비율|자본적정성비율	자본적정성 BIS 총자본비율 자기자본비율	II. 사업의 내용	금융
보험계약마진	CSM|보험계약마진(CSM)|보험계약 마진	보험계약마진 CSM	II. 사업의 내용	보험
지급여력비율	K-ICS|K-ICS 비율|K-ICS비율|킥스 비율|RBC|RBC비율|RBC 비율|지급여력 비율	지급여력비율 K-ICS RBC	II. 사업의 내용	보험
수주잔고	수주잔량|수주 잔고|수주 잔량|수주잔고액|수주현황|수주 현황|수주상황|수주 상황	수주잔고 수주잔량 수주상황	II. 사업의 내용	조선·건설·방산
신규수주	신규 수주|신규수주액|신규 수주액|수주액|수주금액|수주 금액	신규수주 수주액 수주상황	II. 사업의 내용	조선·건설·방산
생산능력	생산 능력|CAPA|캐파|생산캐파|생산 캐파|생산능력 및 생산실적|생산실적	생산능력 생산실적 생산설비	II. 사업의 내용	반도체·이차전지
가동률	가동율|평균가동률|평균 가동률|설비 가동률|설비가동률|공장 가동률	가동률 생산실적 생산설비	II. 사업의 내용	반도체·이차전지
임상	임상시험|임상 시험|임상 단계|임상단계|임상 진행|임상진행|임상 3상|임상 2상|임상 1상|임상3상|임상2상|임상1상	임상 임상시험 연구개발활동	II. 사업의 내용	제약·바이오
기술이전	기술 이전|라이선스 아웃|라이선스아웃|라이선스-아웃|라이센스 아웃|라이센스-아웃|License-out|기술수출|기술 수출|라이선스 계약|라이센스 계약|기술도입|기술 도입	기술이전 라이선스 계약 연구개발활동	II. 사업의 내용	제약·바이오
연구개발비	연구개발 비용|연구개발비용|R&D 비용|R&D비용|R&D 투자|연구개발 투자|연구개발투자|연구개발비율|연구개발 지출	연구개발비 연구개발활동 연구개발비용	II. 사업의 내용	공통
부문별 매출	부문 매출액|부문별 매출액|부문 매출|사업부문별 매출|사업부문별 매출액|지역별 매출액|지역별 매출|지역 매출액|지역 게임 매출액|지역 게임 매출|지역 광고 매출|지역 매출|국가별 매출액|국가별 매출|제품별 매출액|제품별 매출	매출 부문 매출액	II. 사업의 내용	플랫폼·게임·엔터
#
# 이하는 정기보고서 본문 대제목(II. 사업의 내용 밖)에 실리는 지표다(#122). 주주·임원·
# 계열회사·배당·자금조달·주석은 업종을 가리지 않아 sector_hint 를 「공통」으로 둔다 —
# 사전 로더는 그 값을 검증하지 않으므로(term·topic_query·section_hint 만 필수) 표시용
# 주석일 뿐이다. section_hint 는 canonical chunk 의 `path` 접두어로 그대로 쓰인다
# (`app/serving/index.py` `path LIKE prefix||'%'`) — 정기보고서 서식(금감원 기재요령)이
# 번호까지 표준화한 절만 하위 항목까지 좁혔고, 개별 주석처럼 회사마다 번호가 달라지는
# 절은 상위 대제목까지만 좁혀 relevance filter(#113·#142)에 맡긴다.
소액주주	소액주주 수|소액주주수|전체 주주 수|전체주주수|소액주주 현황|주주 분포	소액주주 전체주주수 주주현황	VII. 주주에 관한 사항	공통
최대주주	최대주주 및 특수관계인|최대주주 및 특수관계인의 주식소유 현황|최대주주 및 그 특수관계인|최대주주 및 그 특수관계인의 주식소유 현황|특수관계인의 주식소유 현황|특수관계인 주식소유 현황|최대주주 지분율|최대주주 현황	최대주주 특수관계인 주식소유현황	VII. 주주에 관한 사항	공통
배당정책	배당 정책|주주환원 정책|주주환원정책|배당에 관한 사항	배당정책 주주환원 잉여현금흐름	III. 재무에 관한 사항 > 6. 배당에 관한 사항	공통
