# 욕설·모욕·위협 어휘 사전 — 이슈 #57. `agent/stage1_v1_policy_backend.py`의
# `abusive_input` 판정이 참조한다.
#
# 단독 조사·범용 음절(「씨」「개」「병」 등)은 넣지 않는다 — 회사명·업종어·일반
# 어휘와 부분 문자열로 충돌한다. 모든 표기는 완결된 욕설·모욕·위협 단어(또는
# 흔한 호격/활용 결합형을 별도 행으로 명시)만 담고, 매칭은 어절 경계(앞뒤가
# 한글 음절이 아닌 자리)에서만 이뤄진다 — `_contains_word`(policy backend)가
# 이를 강제한다.
#
# tests/test_policy_abusive_offtopic.py 가 이 사전과 회사명(정본 alias
# 워크북)·`concept_question_patterns.tsv` 표면 사이의 부분 문자열 충돌을
# 검사한다.
#
# 용어	등급	비고
씨발	심함	비속어
씨발놈	심함	비속어+모욕(호격)
씨발년	심함	비속어+모욕(호격)
병신	심함	모욕
병신아	심함	모욕(호격)
병신같은	심함	모욕
개새끼	심함	모욕
개자식	심함	모욕
개년	심함	모욕
개소리	심함	비하
미친놈	심함	모욕
미친놈아	심함	모욕(호격)
미친년	심함	모욕
좆까	심함	비속어
좆같은	심함	비속어
등신	보통	모욕
등신아	보통	모욕(호격)
지랄하네	보통	비하
지랄이야	보통	비하
닥쳐	보통	위협적 명령
닥치고	보통	위협적 명령
꺼져라	보통	위협적 명령
꺼지세요	보통	위협적 명령(정중형이나 축출 명령)
죽어라	심함	위협
뒤져라	심함	위협
멍청한	경함	비하 — 정상 질문과 섞여도 fail-open 대상(예: 「이 멍청한 시스템아」)
멍청이	경함	비하
바보야	경함	비하
